2025-06-03
84
34
252
3
20
10
15
0 1 2
1 6 57
2 6 57
3 1 58
4 1 58
5 1 58
6 3 14
7 3 14
8 6 54
9 6 54
10 6 6
11 6 6
12 6 6
13 6 6
14 3 24
15 3 24
16 3 24
17 3 24
18 3 24
19 3 24
20 3 24
21 3 24
22 3 24
23 3 24
24 3 24
25 3 24
26 3 24
27 3 24
28 3 24
29 3 24
30 3 24
31 3 24
32 3 24
33 3 24
34 3 24
35 3 24
36 3 24
37 3 24
38 3 24
39 3 24
40 3 24
41 3 26
42 3 20
43 3 20
44 2 51
45 2 51
46 4 53
47 4 53
48 2 33
49 2 33
50 2 33
51 2 33
52 2 33
53 2 33
54 2 33
55 2 33
56 2 33
57 2 33
58 2 33
59 2 33
60 2 33
61 2 33
62 2 33
63 1 36
64 2 37
65 2 37
66 2 37
67 2 37
68 2 37
69 2 37
70 2 37
71 2 37
72 2 37
73 1 8
74 1 8
75 1 40
76 1 17
77 1 59
78 1 59
79 1 59
80 1 59
81 1 59
82 1 59
83 1 30
0 0 2025-06-16 2561 3 250519-002
0 61 0 9 24 82457-3
0 
64 65 66 67 68 69 70 71 72 
0 57 0 1 94 0 2 75 0 3 125 137 4 93 0 6 100 2 7 97 0 8 107 0 9 124 0 10 133 0 11 177 121 12 147 26 13 158 0 14 148 0 15 124 77 16 145 0 17 145 0 20 145 0 24 78 0 25 121 14 27 83 0 30 67 0 32 103 0 33 114 4 
1 30 0 2 8 82457-4
1 0 
8 9 
1 47 39 8 53 0 9 61 0 10 66 117 15 62 56 24 39 0 31 30 144 33 57 0 
2 56 0 2 8 82457-5
2 1 0 
8 9 
1 86 40 8 98 0 9 113 0 10 122 112 15 114 47 24 71 0 31 56 157 33 105 0 
1 0 2025-06-16 2561 5 250519-002
0 15 0 1 27 82457-1
0 
41 
0 14 0 1 22 0 2 18 0 3 30 0 4 22 0 6 24 0 7 23 0 8 26 0 9 29 0 12 35 0 13 38 0 14 35 0 15 30 0 16 35 0 17 35 0 18 35 0 19 35 0 21 20 0 23 22 0 24 19 0 25 29 0 28 32 0 29 18 511 30 16 0 31 15 0 32 25 0 33 27 0 
1 9 0 27 27 82457-2
0 
14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 
0 9 0 1 14 0 2 11 0 3 18 0 4 13 0 6 14 0 7 14 0 8 16 0 9 18 0 12 21 0 13 23 0 14 21 0 15 18 0 16 21 0 17 21 0 18 21 0 19 21 0 21 12 0 23 13 0 24 11 0 25 17 0 28 19 0 29 11 513 30 10 0 31 9 0 32 15 0 33 17 0 
2 61 0 9 24 82457-3
2 0 1 
64 65 66 67 68 69 70 71 72 
0 57 0 1 94 0 2 75 0 3 125 137 4 93 0 6 100 2 7 97 0 8 107 0 9 124 0 10 133 0 11 177 121 12 147 26 13 158 0 14 148 0 15 124 77 16 145 0 17 145 0 20 145 0 24 78 0 25 121 14 27 83 0 30 67 0 32 103 0 33 114 4 
3 30 0 2 8 82457-4
3 2 0 1 
8 9 
1 47 39 8 53 0 9 61 0 10 66 117 15 62 56 24 39 0 31 30 144 33 57 0 
4 56 0 2 8 82457-5
4 3 2 0 1 
8 9 
1 86 40 8 98 0 9 113 0 10 122 112 15 114 47 24 71 0 31 56 157 33 105 0 
2 0 2025-06-16 2561 3 250519-002
0 61 0 9 24 82457-3
0 
64 65 66 67 68 69 70 71 72 
0 57 0 1 94 0 2 75 0 3 125 137 4 93 0 6 100 2 7 97 0 8 107 0 9 124 0 10 133 0 11 177 121 12 147 26 13 158 0 14 148 0 15 124 77 16 145 0 17 145 0 20 145 0 24 78 0 25 121 14 27 83 0 30 67 0 32 103 0 33 114 4 
1 30 0 2 8 82457-4
1 0 
8 9 
1 47 39 8 53 0 9 61 0 10 66 117 15 62 56 24 39 0 31 30 144 33 57 0 
2 56 0 2 8 82457-5
2 1 0 
8 9 
1 86 40 8 98 0 9 113 0 10 122 112 15 114 47 24 71 0 31 56 157 33 105 0 
3 0 2025-06-16 2561 3 250519-002
0 61 0 9 24 82457-3
0 
64 65 66 67 68 69 70 71 72 
0 57 0 1 94 0 2 75 0 3 125 137 4 93 0 6 100 2 7 97 0 8 107 0 9 124 0 10 133 0 11 177 121 12 147 26 13 158 0 14 148 0 15 124 77 16 145 0 17 145 0 20 145 0 24 78 0 25 121 14 27 83 0 30 67 0 32 103 0 33 114 4 
1 30 0 2 8 82457-4
1 0 
8 9 
1 47 39 8 53 0 9 61 0 10 66 117 15 62 56 24 39 0 31 30 144 33 57 0 
2 56 0 2 8 82457-5
2 1 0 
8 9 
1 86 40 8 98 0 9 113 0 10 122 112 15 114 47 24 71 0 31 56 157 33 105 0 
4 1 2025-06-16 2561 1 250519-003
0 8 0 2 8 92451-5
0 
8 9 
1 12 15 8 14 0 9 16 0 10 17 56 15 16 45 24 10 0 31 8 28 33 15 0 
5 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
6 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
7 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
8 1 2025-06-16 2561 3 250519-003
0 48 0 15 24 92451-4
0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
0 46 0 1 74 0 2 60 0 3 99 32 4 73 0 6 79 8 7 77 10 8 85 0 9 98 0 10 106 0 11 140 39 12 116 6 13 125 0 14 117 0 15 99 48 16 115 1 17 115 0 20 115 0 24 62 0 25 96 0 27 65 0 30 53 0 32 82 0 33 91 2 
1 34 0 2 8 92451-5
1 0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
2 52 0 2 8 92451-6
2 1 0 
8 9 
1 79 15 8 91 0 9 105 0 10 113 36 15 105 42 24 66 0 31 52 55 33 97 0 
9 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
10 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
11 1 2025-06-16 2561 4 250519-003
0 39 0 9 24 92451-3
0 
64 65 66 67 68 69 70 71 72 
0 37 0 1 60 0 2 48 0 3 80 29 4 59 0 6 64 7 7 62 10 8 69 0 9 79 0 10 85 0 11 113 42 12 94 11 13 101 0 14 95 0 15 80 43 16 93 0 17 93 0 20 93 0 24 50 0 25 78 0 27 53 0 30 43 0 32 66 0 33 73 2 
1 48 0 15 24 92451-4
1 0 
48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 
0 46 0 1 74 0 2 60 0 3 99 32 4 73 0 6 79 8 7 77 10 8 85 0 9 98 0 10 106 0 11 140 39 12 116 6 13 125 0 14 117 0 15 99 48 16 115 1 17 115 0 20 115 0 24 62 0 25 96 0 27 65 0 30 53 0 32 82 0 33 91 2 
2 34 0 2 8 92451-5
2 1 0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
3 52 0 2 8 92451-6
3 2 1 0 
8 9 
1 79 15 8 91 0 9 105 0 10 113 36 15 105 42 24 66 0 31 52 55 33 97 0 
12 1 2025-06-16 2561 1 250519-003
0 34 0 2 8 92451-5
0 
8 9 
1 53 15 8 60 0 9 69 0 10 75 56 15 70 45 24 44 0 31 34 28 33 64 0 
13 2 2025-06-16 2561 3 250519-001
0 73 0 9 24 82454-3
0 
64 65 66 67 68 69 70 71 72 
